date,nav
01-09-2021,697.68500
31-08-2021,699.10400
30-08-2021,692.05900
27-08-2021,681.74700
26-08-2021,677.94600
25-08-2021,679.33400
24-08-2021,677.86300
23-08-2021,671.47400
20-08-2021,670.94000
18-08-2021,680.45700
17-08-2021,683.05500
16-08-2021,684.60400
13-08-2021,684.77400
12-08-2021,678.93900
11-08-2021,676.20900
10-08-2021,676.32300
09-08-2021,678.17700
06-08-2021,679.58800
05-08-2021,681.14600
04-08-2021,681.28800
03-08-2021,676.74900
02-08-2021,667.90500
30-07-2021,661.71900
29-07-2021,660.59100
28-07-2021,658.07200
27-07-2021,658.97800
26-07-2021,663.83300
23-07-2021,666.13300
22-07-2021,663.90000
20-07-2021,656.38100
